File,Text,Acoustic_Annotation,Semantic_Analysis
Ses04F_impro05_F011, Look fifty dollars is unacceptable.  My bag itself cost over a hundred and fifty dollars.  You can't just give me fifty dollar gift certificate to Percoes or whatever the hell and then send me off like that's- that's good enough.  Like that's all I needed was fifty dollars.  My bag is worth more than that.,ang,negative
Ses04F_impro05_F014, You have to make amends for what you did for losing my bag and all of my stuff.  Fifty dollars is unacceptable.,ang,negative
Ses04F_impro05_F015, No.  No.  I don't know. You know what? I'm going to call my lawyer. You know what?  That's what I'm going to do.  I'm going to call my lawyer and have him get down here and explain to you that this is an unacceptable option.,ang,negative
Ses04F_impro05_F017," I've had enough.  I want to talk to-no, no unacceptable I want to your supervisor. I am done with this.",ang,negative
Ses04F_impro05_F019," Okay.  Well I want to call whoever you report to, whoever your boss is because I have had enough with this airline and I am finished waiting for my fifty dollar gift certificate.",ang,negative
Ses03M_impro05b_M009, Wow.  This is an incompetent airline isn't it?  Are you--?,ang,negative
Ses03M_impro05b_M021, Are you kidding me?,ang,negative
Ses03M_impro05b_M025, This is the worst customer service I've ever gotten before.,ang,negative
Ses03M_impro05b_M033, I will never do business with Delta again.,ang,negative
Ses02M_script03_2_M003, You went out of your way to torture me over Peter Burden.,ang,negative
Ses02M_script03_2_M026, What riotous time you must have had.,ang,negative
Ses02M_script03_2_F035, You are far too temperamental. Try to control yourself.,ang,negative
Ses02M_script03_2_M039, Turn it off.,ang,negative
Ses02M_script03_2_F036, Stop it. Stop it. I hate you.,ang,negative
Ses02M_script03_2_F037," Listen indeed. I'm sick and tired of listening to you, damn sadistic bully.",ang,negative
Ses02M_script03_2_F038," Stop it. Stop it. I hate you, do you hear? You're overbearing and conceited and utterly impossible.",ang,negative
Ses02M_script03_2_M042," You're a vile tempered, loose living, wicked little beast and I hope I never see you again as long as I live.",ang,negative
Ses02M_script03_2_F041," Yes, I am. Let go of me you're cruel fiend and I hate and loathe you. Thank God I realized who you really are before I would ever, ever marry you again. I would never marry you again. I'd rather die in torment.",ang,negative
Ses02M_script03_2_M047, I wouldn't marry you again if you came to me on your bended knees. You're a evil minded little vampire. I hope to God I never see you again as long as I live.,ang,negative
Ses02M_script03_2_F042, You're a beast. I hate you. Stop it. Stop it.,ang,negative
Ses03M_script01_2_M016," Look at you, you're shaking.",ang,negative
Ses05M_script01_1b_M018," So it isn't just my business?  You infuriate me sometime, you know that.",ang,negative
Ses05M_script01_1b_M022, what to hell with that!,ang,negative
Ses05M_script01_1b_M035, The business?  The business doesn't inspire me.,ang,negative
Ses01M_script01_2_F009," I want you to---act like he is coming back.  Don't think I haven't noticed you, both of you since Chris invited her here.  I won't stand for any nonsense.",ang,negative
Ses01M_script01_2_M016, Look at you. You're shaking.,ang,negative
Ses01M_script01_2_M017," What the hell do you want from me, Kate?",ang,negative
Ses04F_impro08_M011," Yeah.  I did and they're like you've got to take it up with corporate, and I'm like well fine.  I'll have your ass by the end of the day and so now I'm trying to do that.",ang,negative
Ses04F_impro08_M015," and if I get sent to another operator, I'll have to tell them the same damn story again.  I don't- I think I'm just going to lose my mind.  So if you could please just not do that, that would be great.  Thank you.",ang,negative
Ses04F_impro08_M016, You don't understand because you've never gone to Del Taco and gotten the service that I've gotten.  You don't understand.,ang,negative
Ses04F_impro08_M024," attached to it and you don't send it to me, I'm going to get very upset.",ang,negative
Ses04M_script01_2_F009," Then why is she still single?  New York is full of men.  Why hasn't she married?  Probably a hundred people told her she's foolish, but she's waited.",ang,negative
Ses04M_script01_2_F010," Because she knows what I know, that's why.  She's faithful as a rock.  In my worst moments, I think of her waiting and I know, again, that I'm right.",ang,negative
Ses04M_script01_2_F013," Because if he's not coming back, I'll kill myself.",ang,negative
Ses02M_script01_2_F010," I want you to act like he's coming back, both of you. Don't you think I haven't noticed since he invited her, I won't stand for any nonsense",ang,negative
Ses02M_script01_2_M017, Look at you -- look at you shaking.,ang,negative
Ses05F_script01_2_F011," Because if he's not coming back, then I'll kill myself.",ang,negative
Ses01F_impro04_F033, I can not-- you are not here by choice.  Nobody would ride this bus by choice.,ang,negative
Ses03F_script01_1_M022," -Oh, you infuriate me sometimes. You know, it's not just my business too if dad throws a fit.",ang,negative
Ses03F_script01_1_M023, God. You have such a talent for ignoring things.,ang,negative
Ses03F_script01_1_M043, I've been a sucker too long. I'm through with it.,ang,negative
Ses01F_impro01_F012, That's out of control.,ang,negative
Ses02M_impro01_M009, Shouldn't they have like told us about that? I mean why - why would they make me go and wait three hours if I have got to go and do it again?,ang,negative
Ses04F_script01_1_F010, What do you mean dishonest?,ang,negative
Ses04F_script01_1_M009, You know that Larry's not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,ang,negative
Ses04F_script01_1_M013, For God's sake three years.  Nobody comes back after three years.  It's insane.,ang,negative
Ses04F_script01_1_F015, The trouble is the goddamn newspapers.  Every month some boy turns up from nowhere so the next one is going to be Larry.,ang,negative
Ses04F_script01_1_M021, Sometimes you infuriate me.  You know that?  Isn't it your business too if I tell this to father and he throws a fit about it.,ang,negative
Ses04F_script01_1_M037, I've been a good son too long.  A good sucker I'm through with it.,ang,negative
